[74.11167512690355, 81.01522842639594, 88.3248730964467, 93.70558375634518, 94.61928934010152, 95.22842639593908, 95.83756345177665, 96.44670050761421, 97.05583756345177, 98.1725888324873, 98.57868020304568, 98.98477157360405, 99.39086294416242, 99.99999999999999]
[84.06091370558376, 89.64467005076142, 91.16751269035532, 94.41624365482232, 95.02538071065989, 95.63451776649745, 96.24365482233502, 96.85279187817258, 98.07106598984771, 98.47715736040608, 99.28934010152284, 99.49238578680203, 99.69543147208122, 100.0]
[70.25380710659898, 83.75634517766497, 89.54314720812182, 96.44670050761421, 98.07106598984771, 98.2741116751269, 98.4771573604061, 98.68020304568529, 98.88324873096448, 99.08629441624367, 99.28934010152287, 99.49238578680206, 99.69543147208125, 100.00000000000003]
[81.11675126903553, 87.10659898477158, 90.253807106599, 93.70558375634519, 95.53299492385788, 97.05583756345179, 97.46192893401016, 97.86802030456853, 98.78172588832487, 99.18781725888324, 99.49238578680202, 99.99999999999999]
[75.43147208121827, 87.20812182741116, 89.54314720812182, 94.11167512690355, 94.72081218274111, 95.32994923857868, 95.93908629441624, 97.25888324873097, 97.66497461928934, 98.07106598984771, 98.57868020304568, 98.98477157360405, 99.39086294416242, 99.99999999999999]
[82.13197969543147, 86.5989847715736, 89.23857868020303, 92.69035532994923, 93.50253807106598, 94.31472081218274, 95.93908629441624, 96.5482233502538, 97.15736040609137, 98.2741116751269, 98.68020304568527, 99.08629441624365, 99.69543147208121, 99.99999999999999]
[74.9238578680203, 83.85786802030456, 89.03553299492386, 95.43147208121827, 96.14213197969544, 96.5482233502538, 96.95431472081218, 97.36040609137055, 97.76649746192892, 98.17258883248729, 98.57868020304566, 99.08629441624363, 99.6954314720812, 99.99999999999997]
[76.95431472081218, 84.46700507614213, 89.9492385786802, 91.4720812182741, 95.73604060913704, 97.15736040609136, 97.56345177664973, 98.68020304568526, 98.88324873096445, 99.08629441624365, 99.28934010152284, 99.49238578680203, 99.69543147208122, 100.0]
[75.43147208121827, 82.84263959390863, 86.39593908629442, 93.502538071066, 95.32994923857869, 95.93908629441626, 97.36040609137058, 97.76649746192895, 98.17258883248732, 99.08629441624366, 99.28934010152285, 99.49238578680205, 99.69543147208124, 100.00000000000001]
[78.78172588832487, 84.9746192893401, 89.64467005076142, 91.87817258883248, 92.79187817258882, 94.61928934010152, 95.32994923857868, 96.04060913705584, 96.751269035533, 97.96954314720813, 98.88324873096447, 99.18781725888324, 99.49238578680202, 99.7969543147208, 99.99999999999999]
[80.40609137055837, 85.17766497461929, 87.91878172588832, 91.57360406091371, 92.58883248730965, 93.80710659898477, 96.24365482233503, 97.56345177664976, 97.96954314720813, 98.3756345177665, 98.78172588832487, 99.49238578680203, 99.69543147208122, 100.0]
[70.25380710659898, 80.91370558375634, 87.10659898477157, 92.08121827411166, 94.11167512690353, 95.83756345177663, 96.4467005076142, 97.76649746192892, 98.78172588832486, 98.98477157360405, 99.28934010152282, 99.49238578680202, 99.69543147208121, 99.99999999999999]
[79.69543147208121, 86.5989847715736, 89.34010152284263, 91.67512690355329, 92.79187817258882, 93.80710659898476, 96.4467005076142, 97.05583756345176, 98.88324873096445, 99.08629441624365, 99.28934010152284, 99.49238578680203, 99.69543147208122, 100.0]
[81.8274111675127, 88.42639593908629, 89.64467005076142, 93.19796954314721, 94.11167512690355, 94.9238578680203, 95.73604060913706, 98.68020304568529, 98.88324873096448, 99.08629441624367, 99.28934010152287, 99.49238578680206, 99.69543147208125, 100.00000000000003]
